"Team","Overall","Home","Road","E","W","A","C","SE","NW","P","SW","Pre","Post","MOV_under_3","MOV_over_10","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jul","Aug","year","Home_TeamID","Away_TeamID","Home_adv","Trend"
"Atlanta Hawks",0.451219512195122,0.609756097560976,0.292682926829268,"24-28","13-17","9-9","6-12","9-7","5-5","5-5","3-7",0.44,0.46875,0.545454545454545,0.314285714285714,"","6-9","9-4","4-11","6-8","9-8","3-5","","","",2008,"ATL-2008","ATL-2008",2.08333333333333,1.06534090909091
"Atlanta Hawks",0.353658536585366,0.414634146341463,0.292682926829268,"16-36","13-17","4-14","6-12","6-10","5-5","4-6","4-6",0.327586206896552,0.416666666666667,0.6,0.184210526315789,"2-5","3-13","6-7","5-9","5-7","7-8","1-4","","","",2019,"ATL-2019","ATL-2019",1.41666666666667,1.2719298245614
"Atlanta Hawks",0.524390243902439,0.658536585365854,0.390243902439024,"26-26","17-13","6-12","11-7","9-7","5-5","6-4","6-4",0.482758620689655,0.625,0.7,0.571428571428571,"3-3","8-7","5-9","8-7","5-5","11-6","3-2","","","",2022,"ATL-2022","ATL-2022",1.6875,1.29464285714286
"Atlanta Hawks",0.569444444444444,0.694444444444444,0.444444444444444,"24-18","17-13","7-8","8-7","9-3","5-5","6-4","6-4",0.444444444444444,0.694444444444444,0.5,0.625,"","","3-1","7-8","4-11","9-4","11-6","7-1","","",2021,"ATL-2021","ATL-2021",1.5625,1.5625
"Atlanta Hawks",0.365853658536585,0.439024390243902,0.292682926829268,"17-35","13-17","8-10","4-14","5-11","4-6","6-4","3-7",0.403846153846154,0.3,0.5,0.268292682926829,"","6-7","3-13","8-7","5-9","5-10","3-6","","","",2007,"ATL-2007","ATL-2007",1.5,0.742857142857143
"Atlanta Hawks",0.585365853658537,0.658536585365854,0.51219512195122,"29-23","19-11","11-7","10-8","8-8","6-4","5-5","8-2",0.563636363636364,0.62962962962963,0.416666666666667,0.630434782608696,"2-1","10-7","9-5","6-9","6-5","12-4","3-3","","","",2016,"ATL-2016","ATL-2016",1.28571428571429,1.11708482676225
"Atlanta Hawks",0.292682926829268,0.390243902439024,0.195121951219512,"12-40","12-18","4-14","3-15","5-11","5-5","2-8","5-5",0.305084745762712,0.260869565217391,0.428571428571429,0.186046511627907,"1-6","3-11","6-9","5-10","4-7","2-12","3-3","","","",2018,"ATL-2018","ATL-2018",2,0.855072463768116
"Atlanta Hawks",0.536585365853659,0.585365853658537,0.48780487804878,"31-21","13-17","10-8","12-6","9-7","5-5","6-4","2-8",0.618181818181818,0.37037037037037,0.875,0.5,"3-0","8-7","10-7","9-4","6-6","7-8","1-6","","","",2011,"ATL-2011","ATL-2011",1.2,0.599128540305011
"Atlanta Hawks",0.298507462686567,0.411764705882353,0.181818181818182,"11-32","9-15","3-13","2-12","6-7","3-5","3-5","3-5",0.267857142857143,0.454545454545455,0.166666666666667,0.216216216216216,"2-3","2-13","3-11","6-9","6-7","1-4","","","","",2020,"ATL-2020","ATL-2020",2.26470588235294,1.6969696969697
"Atlanta Hawks",0.573170731707317,0.75609756097561,0.390243902439024,"30-22","17-13","6-12","13-5","11-5","7-3","5-5","5-5",0.596153846153846,0.533333333333333,0.416666666666667,0.580645161290323,"1-0","9-6","11-4","6-10","6-5","10-7","4-3","","","",2009,"ATL-2009","ATL-2009",1.9375,0.894623655913979
"Atlanta Hawks",0.646341463414634,0.829268292682927,0.463414634146341,"32-20","21-9","13-5","11-7","8-8","7-3","7-3","7-3",0.647058823529412,0.645161290322581,0.4,0.775,"2-0","10-5","9-5","9-6","7-5","11-5","5-3","","","",2010,"ATL-2010","ATL-2010",1.78947368421053,0.997067448680352
"Atlanta Hawks",0.606060606060606,0.696969696969697,0.515151515151515,"31-17","9-9","9-8","11-6","11-3","4-2","3-4","2-3",0.588235294117647,0.625,0.428571428571429,0.566666666666667,"","","3-1","13-5","4-9","11-8","9-3","","","",2012,"ATL-2012","ATL-2012",1.35294117647059,1.0625
"Atlanta Hawks",0.463414634146341,0.585365853658537,0.341463414634146,"28-24","10-20","10-8","10-8","8-8","4-6","4-6","2-8",0.490196078431373,0.419354838709677,0.470588235294118,0.483870967741935,"0-1","9-8","9-5","6-7","2-10","6-10","6-3","","","",2014,"ATL-2014","ATL-2014",1.71428571428571,0.855483870967742
