"year","round","game","home_score","away_score","Home_TeamID","Away_TeamID"
2015,"first",3,91,83,"BKN-2015","ATL-2015"
2016,"first",4,104,95,"BOS-2016","ATL-2016"
2021,"second",7,96,103,"PHI-2021","ATL-2021"
2012,"first",6,83,80,"BOS-2012","ATL-2012"
2016,"second",1,104,93,"CLE-2016","ATL-2016"
2008,"first",5,110,85,"BOS-2008","ATL-2008"
2015,"second",3,103,101,"WAS-2015","ATL-2015"
2017,"first",1,114,107,"WAS-2017","ATL-2017"
2017,"first",2,109,101,"WAS-2017","ATL-2017"
2011,"second",5,95,83,"CHI-2011","ATL-2011"
2011,"second",2,86,73,"CHI-2011","ATL-2011"
2010,"first",4,111,104,"MIL-2010","ATL-2010"
2016,"first",3,111,103,"BOS-2016","ATL-2016"
2013,"first",5,106,83,"IND-2013","ATL-2013"
2013,"first",1,107,90,"IND-2013","ATL-2013"
2021,"first",5,89,103,"NYK-2021","ATL-2021"
2015,"third",3,114,111,"CLE-2015","ATL-2015"
2016,"second",2,123,98,"CLE-2016","ATL-2016"
2015,"second",4,101,106,"WAS-2015","ATL-2015"
2008,"first",7,99,65,"BOS-2008","ATL-2008"
2009,"second",1,99,72,"CLE-2009","ATL-2009"
2009,"second",2,105,85,"CLE-2009","ATL-2009"
2011,"first",1,93,103,"ORL-2011","ATL-2011"
2021,"second",2,118,102,"PHI-2021","ATL-2021"
2014,"first",1,93,101,"IND-2014","ATL-2014"
2011,"second",1,95,103,"CHI-2011","ATL-2011"
2010,"first",6,69,83,"MIL-2010","ATL-2010"
2014,"first",2,101,85,"IND-2014","ATL-2014"
2016,"first",6,92,104,"BOS-2016","ATL-2016"
2015,"second",6,91,94,"WAS-2015","ATL-2015"
2013,"first",2,113,98,"IND-2013","ATL-2013"
2021,"third",1,113,116,"MIL-2021","ATL-2021"
2009,"first",3,107,78,"MIA-2009","ATL-2009"
2015,"first",6,87,111,"BKN-2015","ATL-2015"
2008,"first",2,96,77,"BOS-2008","ATL-2008"
2021,"first",2,101,92,"NYK-2021","ATL-2021"
2021,"second",1,124,128,"PHI-2021","ATL-2021"
2012,"first",4,101,79,"BOS-2012","ATL-2012"
